last_name, first_name,player_id,year,p_era,z_swing_percent,z_swing_miss_percent,oz_swing_percent,oz_swing_miss_percent,meatball_swing_percent,meatball_percent,iz_contact_percent,in_zone_percent,edge_percent,swing_percent,
Wainwright, Adam,425794,2022,3.26,61.3,10.9,25.7,34,71.2,7.6,88.9,49.9,43.3,43.5,
Verlander, Justin,434378,2022,2.03,74.4,19.5,30.1,35.6,79.5,8.6,80.5,54.5,45.5,54.2,
Morton, Charlie,450203,2022,4.34,64.9,17.4,26.7,50.5,68.4,7.8,82.4,48.9,43.8,45.4,
Carrasco, Carlos,471911,2022,4.64,70.5,17.8,36.6,44.5,77.1,6.1,81.8,46.5,44.9,52.3,
Gibson, Kyle,502043,2022,4.91,69.1,15,29.9,47.5,75.3,6.1,84.1,47.8,45.1,48.7,
Darvish, Yu,506433,2022,3.53,65,18.4,28.4,46.3,69.8,8.9,81.2,54.1,41.6,48.2,
Bumgarner, Madison,518516,2022,3.74,70.6,14.1,25.6,27.9,80.2,7.5,85.3,48.1,43.6,47.2,
Kelly, Merrill,518876,2022,3.46,67.6,16.8,30.5,32.6,77.8,6.8,82.9,48.6,45.1,48.5,
Perez, Martin,527048,2022,2.34,65,16,28.1,29.8,83.3,5.7,83.8,45.4,50.7,44.8,
Anderson, Tyler,542881,2022,3.09,69,18,34.4,45.1,78.8,7.9,81.8,52.2,43.5,52.5,
Cole, Gerrit,543037,2022,2.99,66.4,24.3,33,50.4,73.2,8.1,75.5,47.9,43.3,49,
Hendricks, Kyle,543294,2022,4.80,63.9,16.5,30.6,36.6,71.6,5.5,83.2,45,45.7,45.6,
Lyles, Jordan,543475,2022,4.70,67,15.1,28.1,39.5,61.2,6.7,84.7,47.1,41.5,46.4,
Wheeler, Zack,554430,2022,2.66,67.7,19.4,33.1,41.1,78.8,7.6,80.4,50.6,42.4,50.6,
Corbin, Patrick,571578,2022,5.68,67.8,13.4,28.4,40.9,82,8.1,86,49.6,42.9,48,
Mikolas, Miles,571945,2022,2.61,65.6,12.7,28.9,33.5,71.3,7.3,87.3,52.7,46.5,48.2,
Gausman, Kevin,592332,2022,2.86,72.6,20.5,42,45.6,79.1,6.4,79.3,48,43.3,56.7,
Ray, Robbie,592662,2022,3.62,75.3,24.1,30.8,51.8,84.7,7.3,75.3,48.3,41.4,52.3,
Taillon, Jameson,592791,2022,3.63,68.9,16.7,31.8,34.7,74.7,7.1,82.5,50.3,45.2,50.4,
Montas, Frankie,593423,2022,3.26,73.4,18.8,33.4,46.2,80.4,6.8,80.5,47.4,44.8,52.4,
Gonzales, Marco,594835,2022,3.29,70.9,15.3,29.3,24.3,83,6.3,84.1,48.9,47.9,49.6,
Pivetta, Nick,601713,2022,3.68,68,16.7,25.9,38.6,74.8,8.1,83.2,51.6,42.9,47.6,
Bassitt, Chris,605135,2022,4.01,63.4,20.7,25.1,35.1,63.5,7.8,78.9,53.6,42.4,45.6,
Musgrove, Joe,605397,2022,2.25,59.4,17.7,33.5,43.8,70.9,6.4,82.3,50.5,43.6,46.6,
Nola, Aaron,605400,2022,3.13,63.2,18.6,32.1,42.1,72,7.6,80.8,52.7,44.4,48.5,
Rodon, Carlos,607074,2022,2.87,67.2,19.9,33.3,47,71.2,7.8,79.9,50.1,43.4,50.3,
Freeland, Kyle,607536,2022,4.43,70.4,12,27.1,42.4,77.5,6.2,87.8,47.8,44.9,47.8,
Fried, Max,608331,2022,2.66,67.7,16.1,35,43.4,70.3,6,83.9,46.3,44.4,50.1,
Irvin, Cole,608344,2022,3.35,69.6,17.1,29.6,29.5,78.4,7.9,82,52.5,44.7,50.6,
Marquez, German,608566,2022,5.90,68.1,11.2,28.2,48.2,74.6,8.5,88,51,39.9,48.5,
Quantrill, Cal,615698,2022,3.86,66.9,14,32.2,24.6,72.2,7,86,47.9,43.6,48.8,
Blackburn, Paul,621112,2022,2.90,62.9,16.2,26.8,39.6,67.9,6.1,83.5,47.8,45.5,44,
Berrios, Jose,621244,2022,5.72,66.1,10.2,31,41.6,80.2,6.2,89.8,50.6,43.6,48.7,
Flexen, Chris,623167,2022,4.00,72.5,13.2,27,38.1,73.4,5.5,86.6,44.5,43.8,47.2,
Urias, Julio,628711,2022,2.57,68.2,19,32.2,42.3,77.1,8.4,79.7,52.1,43.1,51,
Manaea, Sean,640455,2022,4.18,72,21.2,27.2,43.3,83.8,8,78.8,52.4,43.6,50.7,
Lopez, Pablo,641154,2022,2.97,68.5,20.3,32.9,45.5,82.4,5.8,79.4,45.7,45.3,49.2,
Cortes Jr., Nestor,641482,2022,2.44,67.7,19,31,34.2,71.7,6.9,80.8,52.7,46,50.3,
Dunning, Dane,641540,2022,4.15,61.9,14.7,31.7,39,64.8,6.1,84.4,45.2,42.3,45.4,
Hudson, Dakota,641712,2022,4.29,67.3,9.6,22.3,38.9,77.8,5.9,90.1,47.1,41.5,43.5,
Keller, Brad,641745,2022,4.24,69.1,9.8,27,41.1,72.9,7.3,89.9,49.3,43.3,47.8,
Kuhl, Chad,641771,2022,3.83,67.5,16.5,26.1,40,75.2,7.9,83,48.4,42.6,46.1,
Lauer, Eric,641778,2022,3.84,68,22.2,29.1,37.7,78.7,9.1,77.2,51.2,43.5,49,
Mahle, Tyler,641816,2022,4.48,63.9,21.7,28,40.1,74.4,5.4,78.3,46.2,47.7,44.6,
Alcantara, Sandy,645261,2022,1.82,68.4,19.5,33.4,40.2,75.8,7.1,80,51,47.3,51.3,
Cease, Dylan,656302,2022,2.51,68.1,26.8,31.6,51.3,79,6.5,72.6,44.8,42.3,48,
Montgomery, Jordan,656756,2022,3.19,66.7,21,33.6,46.7,76.8,7.3,78.7,48.4,41.1,49.6,
Wright, Kyle,657140,2022,2.91,65.7,19.7,26.4,48.1,75.4,8.1,79.9,52.8,41.5,47.1,
Webb, Logan,657277,2022,3.13,63.9,16.2,32.8,40.2,73.5,5.5,83.6,47.7,46.4,47.7,
McKenzie, Triston,663474,2022,3.71,72.6,16.5,28.2,49.7,79.8,8,83.3,51.3,41.8,51,
McClanahan, Shane,663556,2022,1.74,65.1,28.2,33.2,52.8,72.7,6.9,71.8,50.9,44.4,49.4,
Brubaker, JT,664141,2022,4.28,63.8,13.3,30.5,53.9,69.8,6.3,86.2,47.6,42.5,46.3,
Valdez, Framber,664285,2022,2.67,63.3,12,28.3,51.5,73.3,8.8,87,53.2,43,46.9,
Manoah, Alek,666201,2022,2.33,67.6,18.6,31.5,39.5,76.7,8.9,81,51.3,40.5,50,
Plesac, Zach,668676,2022,3.80,71.1,14.9,30.8,35.1,84.9,7,84.2,50.1,44.9,51,
Gallen, Zac,668678,2022,3.40,65.2,12.6,31.9,37.8,70.9,5.7,87.1,45.9,45.4,47.2,
Burnes, Corbin,669203,2022,2.36,61.8,21.7,34.7,57.9,73.6,5.4,78.3,42.4,42.8,46.2,
Gilbert, Logan,669302,2022,2.61,74.1,19.1,24.6,38.9,84.1,9.1,80.5,52.6,40.3,50.7,
Skubal, Tarik,669373,2022,4.06,68.7,19.1,30.2,44.9,81,7.9,80.3,53.1,43.3,50.7,
Bieber, Shane,669456,2022,3.16,67.4,16.7,29.1,60.7,74,7.3,82.6,49.7,39.9,48.2,
Garcia, Luis,677651,2022,3.81,71.5,18.7,30.8,53.9,81.7,6.4,80.8,48.1,42.2,50.4,
Wainwright, Adam,425794,2020,3.15,62.9,15.2,30.2,41.4,65.7,7.5,83.7,48.4,42.9,46,
Greinke, Zack,425844,2020,4.03,59.7,17,26.3,46.5,66.2,6.4,82.6,43.6,43.7,40.8,
Lester, Jon,452657,2020,5.16,67.4,11.3,25.9,32.4,82.3,6.2,88.1,44.4,40.9,44.3,
Scherzer, Max,453286,2020,3.74,71.5,25.8,30.1,47.3,79.8,7.7,73.5,49.1,42.8,50.5,
Cueto, Johnny,456501,2020,5.40,68.1,14.5,25.8,31.9,72.6,6.4,84.9,45.9,42.8,45.2,
Lynn, Lance,458681,2020,3.32,70.7,19.8,27.1,40.9,83.7,6.1,80.2,51.2,45.1,49.5,
Carrasco, Carlos,471911,2020,2.91,69.2,20.6,30.1,57.8,73.7,6.9,79.4,47.8,43.3,48.8,
Gibson, Kyle,502043,2020,5.35,61.8,10.8,26.8,44.1,67.4,4,88.5,42.1,42.8,41.5,
Darvish, Yu,506433,2020,2.01,65.7,22.6,30.2,56.7,79,8.7,76.7,54.9,42.1,49.7,
Perez, Martin,527048,2020,4.50,66.1,20.6,23.6,26,74.1,5.6,78.8,46.3,46.4,43.3,
Cole, Gerrit,543037,2020,2.84,67.1,24.5,33.1,52.7,78,7.6,75.3,48.5,43.1,49.6,
Hendricks, Kyle,543294,2020,2.88,66.4,19.3,31.9,36.6,70.6,7.4,80.2,52.3,45.9,49.8,
Bauer, Trevor,545333,2020,1.73,65.8,21.4,29.1,47.8,78.8,7.3,77.5,47,42,46.4,
Ryu, Hyun Jin,547943,2020,2.69,71,18.9,31.2,39.4,86.2,5.7,79.5,45.4,45.5,49.3,
Wheeler, Zack,554430,2020,2.92,73.8,18.9,32.7,30.7,77.8,6.7,81.1,49.2,44.5,52.9,
Boyd, Matthew,571510,2020,6.71,70.2,17.6,30.5,47.5,66.2,6.5,82.4,45.4,42.3,48.5,
Corbin, Patrick,571578,2020,4.66,70,11.8,33.4,44.8,80.5,7.2,88.2,46.3,42.8,50.4,
Heaney, Andrew,571760,2020,4.46,68.1,21.8,31.3,42,70.6,7.8,76.9,52.3,43.4,50.5,
Keuchel, Dallas,572971,2020,1.99,68.3,16.8,28.4,35.8,81.6,5.1,82.8,41.8,46.1,45.1,
deGrom, Jacob,594798,2020,2.38,75.1,31.7,35.7,57.4,83.1,5.7,67.8,46.7,45.7,54.1,
Gonzales, Marco,594835,2020,3.10,62.8,14.9,30.3,31.1,70.4,6.7,84.6,53.7,48,47.8,
Bassitt, Chris,605135,2020,2.29,65.1,18.9,25.8,34.5,71,9.8,81.1,52.4,41.9,46.4,
Bundy, Dylan,605164,2020,3.29,60.8,18.3,29.5,51.3,55.1,6.8,81,49.4,45.6,45,
Davies, Zach,605200,2020,2.73,62.2,17.1,26.4,40,71.4,4.6,82.5,42.7,46.1,41.7,
Nola, Aaron,605400,2020,3.28,60.6,20.6,36.5,45.1,66.1,5.4,79.1,44,46,47.1,
Woodruff, Brandon,605540,2020,3.05,69.9,25,26.7,39.1,75.6,6.4,74.5,50.1,43.3,48.3,
Freeland, Kyle,607536,2020,4.33,65.1,11.1,30.7,36.3,80,6.2,88.5,44.1,47.1,45.9,
Giolito, Lucas,608337,2020,3.48,73.1,28.4,28.2,57.9,87.3,8.4,71.6,50,40.5,50.7,
Marquez, German,608566,2020,3.75,67.8,15.3,28.2,55.5,72.1,8.5,84.4,52.6,41.7,49,
Mills, Alec,621219,2020,4.48,61.1,12.8,30.1,26.6,66.7,5.4,86.4,45.9,44.7,44.3,
Berrios, Jose,621244,2020,4.00,61.9,19.3,31.2,41.9,64.5,6.9,80.1,47.9,44,45.9,
Castillo, Luis,622491,2020,3.21,73.6,24.9,28.2,53.1,82.2,6.3,75.1,50.2,42.3,51,
Senzatela, Antonio,622608,2020,3.44,68.8,11.9,24.3,36.4,81.1,7.9,87.8,49.4,44.7,46.3,
Maeda, Kenta,628317,2020,2.70,69.4,19.7,39.5,55.3,72.2,7.3,80,43.8,41.4,52.6,
Civale, Aaron,650644,2020,4.74,62.5,17.2,29.3,40.6,66.3,7.7,82.8,48.8,46,45.5,
Lamet, Dinelson,659275,2020,2.09,63.4,20.1,30.8,58.9,73.8,6.2,79.9,51,42,47.4,
Singer, Brady,663903,2020,4.06,57.6,14.3,27.2,44.3,76.6,7.2,85.4,48.8,42,42,
Valdez, Framber,664285,2020,3.57,61.3,15.4,26.7,46.6,76.9,8.7,84,52.4,42.9,44.8,
Gallen, Zac,668678,2020,2.75,60.3,19.4,29.4,48.3,69.8,4.7,79.3,45.1,48.5,43.3,
Bieber, Shane,669456,2020,1.63,64.2,22.5,34.6,64,69.8,5.1,77.5,40.9,41.9,46.7,
Dickey, R.A.,285079,2017,4.26,65.7,18.4,26.7,26.4,79.8,7.9,80.9,52.7,44.2,47.4,
Lackey, John,407793,2017,4.59,66.9,16.4,28.8,38.4,74.2,7.6,82.8,49.1,42.4,47.5,
Greinke, Zack,425844,2017,3.20,63.1,18.6,32.4,45.4,70.6,5.7,80.8,45,43.7,46.2,
Santana, Ervin,429722,2017,3.28,69.3,15.6,30.4,38.4,75.5,6.2,84.2,46.6,42.6,48.5,
Verlander, Justin,434378,2017,3.36,68.7,17.2,29.1,39.3,78.5,7.4,82.7,50.9,43.8,49.3,
Hammel, Jason,434628,2017,5.29,66.9,13.4,28.8,40.9,75.7,8.6,86.2,50.9,41.6,48,
Nolasco, Ricky,445060,2017,4.92,70.2,18.1,26.1,40.8,79.8,6.6,81.5,44.9,41.4,45.9,
Kluber, Corey,446372,2017,2.25,64,21.1,33.3,58.9,70.8,7.9,78.8,51.2,43.5,49.1,
Vargas, Jason,450306,2017,4.16,60.6,19.2,26,33.5,70,7,80.5,50.1,45.5,43.4,
Lester, Jon,452657,2017,4.33,67.2,16.6,28.9,39.9,81.5,5.4,82.4,43.3,44.5,45.4,
Scherzer, Max,453286,2017,2.51,69.3,25.3,32.8,48.4,75.5,8.8,73,52.7,40.9,52,
Richard, Clayton,453385,2017,4.79,68.2,13.2,31.5,31.9,74.2,6.2,85.5,46.5,44.2,48.5,
Arrieta, Jake,453562,2017,3.53,62.2,15.4,25.5,34.9,71.2,7.3,83.8,50.9,42.7,44.1,
