last_name, first_name,player_id,year,p_era,z_swing_percent,z_swing_miss_percent,oz_swing_percent,oz_swing_miss_percent,oz_contact_percent,meatball_swing_percent,iz_contact_percent,whiff_percent,swing_percent,
Wainwright, Adam,425794,2020,3.15,62.9,15.2,30.2,41.4,58.6,65.7,83.7,24.1,46,
Greinke, Zack,425844,2020,4.03,59.7,17,26.3,46.5,53.5,66.2,82.6,27.7,40.8,
Lester, Jon,452657,2020,5.16,67.4,11.3,25.9,32.4,67.6,82.3,88.1,18.1,44.3,
Scherzer, Max,453286,2020,3.74,71.5,25.8,30.1,47.3,51.6,79.8,73.5,32.4,50.5,
Cueto, Johnny,456501,2020,5.40,68.1,14.5,25.8,31.9,66.9,72.6,84.9,19.9,45.2,
Lynn, Lance,458681,2020,3.32,70.7,19.8,27.1,40.9,59.1,83.7,80.2,25.4,49.5,
Carrasco, Carlos,471911,2020,2.91,69.2,20.6,30.1,57.8,41,73.7,79.4,32.6,48.8,
Gibson, Kyle,502043,2020,5.35,61.8,10.8,26.8,44.1,55.9,67.4,88.5,23.3,41.5,
Darvish, Yu,506433,2020,2.01,65.7,22.6,30.2,56.7,42.7,79,76.7,31.9,49.7,
Perez, Martin,527048,2020,4.50,66.1,20.6,23.6,26,72.5,74.1,78.8,22.1,43.3,
Cole, Gerrit,543037,2020,2.84,67.1,24.5,33.1,52.7,47.3,78,75.3,34.2,49.6,
Hendricks, Kyle,543294,2020,2.88,66.4,19.3,31.9,36.6,63.4,70.6,80.2,24.9,49.8,
Bauer, Trevor,545333,2020,1.73,65.8,21.4,29.1,47.8,52.2,78.8,77.5,30.2,46.4,
Ryu, Hyun Jin,547943,2020,2.69,71,18.9,31.2,39.4,60.6,86.2,79.5,26,49.3,
Wheeler, Zack,554430,2020,2.92,73.8,18.9,32.7,30.7,68.7,77.8,81.1,22.6,52.9,
Boyd, Matthew,571510,2020,6.71,70.2,17.6,30.5,47.5,51.9,66.2,82.4,27.9,48.5,
Corbin, Patrick,571578,2020,4.66,70,11.8,33.4,44.8,54.2,80.5,88.2,23.6,50.4,
Heaney, Andrew,571760,2020,4.46,68.1,21.8,31.3,42,58,70.6,76.9,27.7,50.5,
Keuchel, Dallas,572971,2020,1.99,68.3,16.8,28.4,35.8,64.2,81.6,82.8,23.8,45.1,
deGrom, Jacob,594798,2020,2.38,75.1,31.7,35.7,57.4,41.7,83.1,67.8,40.7,54.1,
Gonzales, Marco,594835,2020,3.10,62.8,14.9,30.3,31.1,68.2,70.4,84.6,19.6,47.8,
Bassitt, Chris,605135,2020,2.29,65.1,18.9,25.8,34.5,65.5,71,81.1,23,46.4,
Bundy, Dylan,605164,2020,3.29,60.8,18.3,29.5,51.3,47.4,55.1,81,29.3,45,
Davies, Zach,605200,2020,2.73,62.2,17.1,26.4,40,59.4,71.4,82.5,25.5,41.7,
Nola, Aaron,605400,2020,3.28,60.6,20.6,36.5,45.1,54.9,66.1,79.1,31.2,47.1,
Woodruff, Brandon,605540,2020,3.05,69.9,25,26.7,39.1,60.9,75.6,74.5,28.9,48.3,
Freeland, Kyle,607536,2020,4.33,65.1,11.1,30.7,36.3,63.2,80,88.5,20.5,45.9,
Giolito, Lucas,608337,2020,3.48,73.1,28.4,28.2,57.9,41.5,87.3,71.6,36.6,50.7,
Marquez, German,608566,2020,3.75,67.8,15.3,28.2,55.5,44.5,72.1,84.4,26.3,49,
Mills, Alec,621219,2020,4.48,61.1,12.8,30.1,26.6,72.7,66.7,86.4,17.9,44.3,
Berrios, Jose,621244,2020,4.00,61.9,19.3,31.2,41.9,58.1,64.5,80.1,27.3,45.9,
Castillo, Luis,622491,2020,3.21,73.6,24.9,28.2,53.1,45.7,82.2,75.1,32.7,51,
Senzatela, Antonio,622608,2020,3.44,68.8,11.9,24.3,36.4,63.6,81.1,87.8,18.4,46.3,
Maeda, Kenta,628317,2020,2.70,69.4,19.7,39.5,55.3,44.3,72.2,80,34.7,52.6,
Civale, Aaron,650644,2020,4.74,62.5,17.2,29.3,40.6,58.9,66.3,82.8,24.9,45.5,
Lamet, Dinelson,659275,2020,2.09,63.4,20.1,30.8,58.9,39.9,73.8,79.9,32.5,47.4,
Singer, Brady,663903,2020,4.06,57.6,14.3,27.2,44.3,55,76.6,85.4,24.2,42,
Valdez, Framber,664285,2020,3.57,61.3,15.4,26.7,46.6,52.6,76.9,84,24.3,44.8,
Gallen, Zac,668678,2020,2.75,60.3,19.4,29.4,48.3,51.7,69.8,79.3,30.2,43.3,
Bieber, Shane,669456,2020,1.63,64.2,22.5,34.6,64,36,69.8,77.5,40.7,46.7,
Wainwright, Adam,425794,2022,3.07,61.8,10.4,26.3,33.7,66.3,69.7,89.4,17.4,43.9,
Verlander, Justin,434378,2022,2.22,74,19.3,29.9,35.9,63,78.4,80.7,23.6,53.6,
Morton, Charlie,450203,2022,4.73,65.8,17.6,26,49.5,50.5,68.8,82.1,26.9,45.4,
Carrasco, Carlos,471911,2022,4.85,70,16.7,36.3,44.7,54.9,77.6,82.8,27.2,51.9,
Quintana, Jose,500779,2022,3.43,67.8,17.9,32.8,39.3,59.4,80,81.8,26.4,47.6,
Gibson, Kyle,502043,2022,4.48,69.3,15.6,30.8,47.9,51.7,76.3,83.4,26.3,49,
Darvish, Yu,506433,2022,3.26,64.4,17.8,28.5,45.8,54.2,68.6,81.8,25.6,47.7,
Bumgarner, Madison,518516,2022,3.75,70.1,14.2,25.3,28,72,78.6,85.4,18,46.8,
Kelly, Merrill,518876,2022,3.64,67.4,17.7,30.6,33.2,66.4,79.3,82.1,22.8,48.3,
Perez, Martin,527048,2022,2.22,65.2,16.2,28.4,29.6,70,83.8,83.6,20.8,45,
Anderson, Tyler,542881,2022,3.23,69.5,17.6,35,43.5,55.4,79.6,82.1,25.8,53.1,
Cole, Gerrit,543037,2022,2.99,67.2,25.3,33.2,51,49,73.3,74.5,34.3,49.4,
Hendricks, Kyle,543294,2022,4.90,64.8,16,29.9,34.7,64.8,71.2,83.7,22.8,45.5,
Lyles, Jordan,543475,2022,4.94,68,15.4,27.6,40,59.5,62.5,84.4,23.1,46.5,
